xç¿ïW,yç¿ïW,ìÆÇ´ï˚,éÌóﬁ,ìoèÍéûä‘,ë“Çøéûä‘,íeä‘äu,íeå¬êî,íeéÌóﬁ,íeknd,íecol,íeäpìx,íeë¨ìx,ëÃóÕ,ÉAÉCÉeÉÄ
28,-0,24,0,0,68,40,1,0,2,9,5,3,60,0
450,-0,25,0,0,68,40,1,0,2,8,5,3,60,0
28,-0,24,0,10,68,40,1,0,2,7,5,3,60,0
450,-0,25,0,10,68,40,1,0,2,6,5,3,60,0
28,-0,24,0,40,68,40,1,0,2,5,5,3,60,0
450,-0,25,0,40,68,40,1,0,2,4,5,3,60,0
28,-0,24,0,30,68,40,1,0,2,3,5,3,60,0
450,-0,25,0,30,68,40,1,0,2,2,5,3,60,0
28,-0,24,0,40,68,40,1,0,2,1,5,3,60,0
450,-0,25,0,40,68,40,1,0,2,0,5,3,60,0
28,-0,24,0,50,68,40,1,0,2,10,5,3,60,0
450,-0,25,0,50,68,40,1,0,2,11,5,3,60,0
28,-0,24,0,60,68,40,1,0,2,12,5,3,60,0
450,-0,25,0,60,68,40,1,0,2,13,5,3,60,0
28,-0,24,0,70,68,40,1,0,2,14,5,3,60,0
450,-0,25,0,70,68,40,1,0,2,15,5,3,60,0
28,-0,24,0,80,68,40,1,0,2,16,5,3,60,0
450,-0,25,0,80,68,40,1,0,2,9,5,3,60,0
28,-0,24,0,90,68,40,1,0,2,9,5,3,60,0
450,-0,25,0,90,68,40,1,0,2,9,5,3,60,0
