x座標,y座標,動き方,種類,登場時間,待ち時間,弾間隔,弾個数,弾種類,弾knd,弾col,弾角度,弾速度,体力,アイテム
143,-10,36,0,0,51,50,3,0,2,2,5,3,50,0
455,-11,36,0,68,51,50,3,0,2,3,5,3,50,0
38,-12,36,0,68,51,50,3,0,2,4,5,3,50,0
320,-7,36,0,88,51,50,3,0,2,5,5,3,50,0
203,-11,36,0,88,51,50,3,0,2,6,5,3,50,0
96,613,-8,1,163,20,10,8,2,2,6,5,3,50,0
274,618,-8,1,163,20,10,8,2,2,6,5,3,50,0
455,619,-8,1,163,20,10,8,2,2,6,5,3,50,0
430,-9,-7,2,211,20,10,8,2,2,6,5,3,50,0
380.0016,-8.598941,-7,2,211,20,60,0,4,2,0,5,3,50,0
330.0032,-8.197882,-7,2,211,20,60,0,4,2,0,5,3,50,0
280.0049,-7.796823,-7,2,211,20,60,0,4,2,0,5,3,50,0
230.0065,-7.395763,-7,2,211,20,60,0,4,2,0,5,3,50,0
180.0081,-6.994704,-7,2,211,20,60,0,4,2,0,5,3,50,0
130.0097,-6.593645,-7,2,211,20,60,0,4,2,0,5,3,50,0
80.01131,-6.192586,-7,2,211,20,60,0,4,2,0,5,3,50,0
455,-9,-7,2,229,20,60,0,4,2,0,5,3,50,0
405.0013,-8.63146,-7,2,229,20,60,0,4,2,0,5,3,50,0
355.0027,-8.26292,-7,2,229,20,60,0,4,2,0,5,3,50,0
305.004,-7.894381,-7,2,229,20,60,0,4,2,0,5,3,50,0
255.0054,-7.525841,-7,2,229,20,60,0,4,2,0,5,3,50,0
205.0067,-7.157301,-7,2,229,20,60,0,4,2,0,5,3,50,0
155.0081,-6.788761,-7,2,229,20,60,0,4,2,0,5,3,50,0
105.0095,-6.420221,-7,2,229,20,60,0,4,2,0,5,3,50,0
55.01082,-6.051682,-7,2,229,20,60,0,4,2,0,5,3,50,0
48,-6,-7,2,229,20,60,0,4,2,0,5,3,50,0
97.99692,-6.555521,-7,2,229,20,60,0,4,2,7,5,3,50,0
147.9938,-7.111043,-7,2,229,20,60,0,4,2,6,5,3,50,0
197.9908,-7.666564,-7,2,229,20,60,0,4,2,5,5,3,50,0
247.9877,-8.222086,-7,2,229,20,60,0,4,2,4,5,3,50,0
297.9846,-8.777607,-7,2,229,20,60,0,4,2,3,5,3,50,0
347.9815,-9.333128,-7,2,229,20,60,0,4,2,2,5,3,50,0
397.9784,-9.888649,-7,2,229,20,60,0,4,2,1,5,3,50,0
