x座標,y座標,動き方,種類,登場時間,待ち時間,弾間隔,弾個数,弾種類,弾knd,弾col,弾角度,弾速度,体力,アイテム
491,325,-2,2,0,50,50,1,0,2,0,5,3,50,0
487,193,-2,2,34,50,50,1,0,2,0,5,3,50,0
489,414,-2,2,67,50,50,1,0,2,0,5,3,50,0
486,515,-2,2,93,50,50,1,0,2,0,5,3,50,0
511,483,-2,2,93,50,50,1,0,2,0,5,3,50,0
493,218,-2,2,119,50,50,1,0,2,0,5,3,50,0
489,99,-2,2,149,50,50,1,0,2,0,5,3,50,0
528,175,-2,2,174,50,50,1,0,2,0,5,3,50,0
500,208,-2,2,202,50,50,1,0,2,0,5,3,50,0
565,235,-2,2,252,50,50,1,0,2,0,5,3,50,0
500,337,-2,2,50,50,50,1,0,2,0,5,3,50,0
490,130,-2,2,121,50,50,1,0,2,0,5,3,50,0
509,359,-2,2,152,50,50,1,0,2,0,5,3,50,0
503,468,-2,2,189,50,50,1,0,2,0,5,3,50,0
502,386,-2,2,216,50,50,1,0,2,0,5,3,50,0
499,54,-2,2,246,50,50,1,0,2,0,5,3,50,0
505,141,-2,2,288,50,50,1,0,2,0,5,3,50,0
512,364,-2,2,319,50,50,1,0,2,0,5,3,50,0
525,361,-2,2,43,50,50,1,0,2,0,5,3,50,0
503,183,-2,2,106,50,50,1,0,2,0,5,3,50,0
537,421,-2,2,146,50,50,1,0,2,0,5,3,50,0
510,376,-2,2,201,50,50,1,0,2,0,5,3,50,0
510,424,-2,2,265,50,50,1,0,2,0,5,3,50,0
508,464,-2,2,310,50,50,1,0,2,0,5,3,50,0
515,391,-2,2,370,50,50,1,0,2,0,5,3,50,0
