x座標,y座標,動き方,種類,登場時間,待ち時間,弾間隔,弾個数,弾種類,弾knd,弾col,弾角度,弾速度,アイテム
365,14,17,0,0,62,50,1,0,2,0,5,5,50,0
332.4207,45.55539,17,0,0,62,50,1,0,2,0,5,5,50,0
163,15,18,0,0,62,50,1,0,2,0,5,5,50,0
195.4644,46.94505,18,0,0,62,50,1,0,2,0,5,5,50,0
365,14,17,0,50,62,50,1,0,2,0,5,5,50,0
332.4207,45.55539,17,0,50,62,50,1,0,2,0,5,5,50,0
163,15,18,0,50,62,50,1,0,2,0,5,5,50,0
195.4644,46.94505,18,0,50,62,50,1,0,2,0,5,5,50,0
365,14,17,0,100,62,50,1,0,2,0,5,5,50,0
332.4207,45.55539,17,0,100,62,50,1,0,2,0,5,5,50,0
163,15,18,0,100,62,50,1,0,2,0,5,5,50,0
195.4644,46.94505,18,0,100,62,50,1,0,2,0,5,5,50,0
365,14,17,0,150,62,50,1,0,2,0,5,5,50,0
332.4207,45.55539,17,0,150,62,50,1,0,2,0,5,5,50,0
163,15,18,0,150,62,50,1,0,2,0,5,5,50,0
195.4644,46.94505,18,0,150,62,50,1,0,2,0,5,5,50,0
365,14,17,0,200,62,50,1,0,2,0,5,5,50,0
332.4207,45.55539,17,0,500,62,50,1,0,2,0,5,5,50,0
163,15,18,0,200,62,50,1,0,2,0,5,5,50,0
195.4644,46.94505,18,0,500,62,50,1,0,2,0,5,5,50,0
365,14,17,0,250,62,50,1,0,2,0,5,5,50,0
332.4207,45.55539,17,0,250,62,50,1,0,2,0,5,5,50,0
163,15,18,0,250,62,50,1,0,2,0,5,5,50,0
195.4644,46.94505,18,0,250,62,50,1,0,2,0,5,5,50,0
