xç¿ïW,yç¿ïW,ìÆÇ´ï˚,éÌóﬁ,ìoèÍéûä‘,ë“Çøéûä‘,íeä‘äu,íeå¬êî,íeéÌóﬁ,íeknd,íecol,íeäpìx,íeë¨ìx,ëÃóÕ,ÉAÉCÉeÉÄ
239,4,34,0,0,126,35,1,11,2,0,5,7,50,0
239,4,34,0,0,126,35,1,11,2,0,5,7,50,0
239,4,34,0,10,126,35,1,11,2,0,5,7,50,0
239,4,34,0,10,126,35,1,11,2,0,5,7,50,0
239,4,34,0,20,126,35,1,11,2,0,5,7,50,0
239,4,34,0,20,126,35,1,11,2,0,5,7,50,0
239,4,34,0,30,126,35,1,11,2,0,5,7,50,0
239,4,34,0,30,126,35,1,11,2,0,5,7,50,0
239,4,34,0,40,126,35,1,11,2,0,5,7,50,0
239,4,34,0,40,126,35,1,11,2,0,5,7,50,0
184,4,34,0,10,126,35,1,11,2,0,5,7,50,0
294,4,34,0,10,126,35,1,11,2,0,5,7,50,0
184,4,34,0,20,126,35,1,11,2,0,5,7,50,0
294,4,34,0,20,126,35,1,11,2,0,5,7,50,0
184,4,34,0,30,126,35,1,11,2,0,5,7,50,0
294,4,34,0,30,126,35,1,11,2,0,5,7,50,0
184,4,34,0,40,126,35,1,11,2,0,5,7,50,0
294,4,34,0,40,126,35,1,11,2,0,5,7,50,0
129,4,34,0,20,126,35,1,11,2,0,5,7,50,0
349,4,34,0,20,126,35,1,11,2,0,5,7,50,0
129,4,34,0,30,126,35,1,11,2,0,5,7,50,0
349,4,34,0,30,126,35,1,11,2,0,5,7,50,0
129,4,34,0,40,126,35,1,11,2,0,5,7,50,0
349,4,34,0,40,126,35,1,11,2,0,5,7,50,0
74,4,34,0,30,126,35,1,11,2,0,5,7,50,0
404,4,34,0,30,126,35,1,11,2,0,5,7,50,0
74,4,34,0,40,126,35,1,11,2,0,5,7,50,0
404,4,34,0,40,126,35,1,11,2,0,5,7,50,0
21,4,34,0,40,126,35,1,11,2,0,5,7,50,0
457,4,34,0,40,126,35,1,11,2,0,5,7,50,0
