x座標,y座標,動き方,種類,登場時間,待ち時間,弾間隔,弾個数,弾種類,弾knd,弾col,弾角度,弾速度,体力,アイテム
341,-13,-7,0,0,20,50,1,0,2,0,5,3,50,0
68,-11,-7,0,0,20,50,1,0,2,0,5,3,50,0
117.9873,-9.87416,-7,0,0,20,50,1,0,2,0,5,3,50,0
167.9746,-8.74832,-7,0,0,20,50,1,0,2,0,5,3,50,0
217.962,-7.622479,-7,0,0,20,50,1,0,2,0,5,3,50,0
267.9493,-6.496638,-7,0,0,20,50,1,0,2,0,5,3,50,0
134,-9,0,0,27,20,60,10,2,2,0,5,3,250,0
413,-11,0,0,35,20,60,10,2,2,0,5,3,250,0
230,3,1,0,93,20,60,10,2,2,0,5,3,250,0
356,-8,1,0,112,20,60,10,2,2,0,5,3,250,0
-5,380,-6,0,186,20,60,10,2,2,0,5,3,250,0
-10,222,-6,0,200,20,60,10,2,2,0,5,3,250,0
-16.4277,271.5851,-6,0,200,20,60,10,2,2,0,5,3,250,0
-12,334,-6,0,215,20,60,10,2,2,0,5,3,250,0
-9,195,-6,0,231,20,60,10,2,2,0,5,3,250,0
